"location","age_group","forecast_date","target_end_date","target","type","quantile","value","pathogen"
"DE","00+",2022-03-04,2022-03-04,"0 day ahead inc hosp","mean",NA,10806,"COVID-19"
"DE","00+",2022-03-04,2022-03-04,"0 day ahead inc hosp","quantile",0.025,8294,"COVID-19"
"DE","00+",2022-03-04,2022-03-04,"0 day ahead inc hosp","quantile",0.1,9012,"COVID-19"
"DE","00+",2022-03-04,2022-03-04,"0 day ahead inc hosp","quantile",0.25,9748,"COVID-19"
"DE","00+",2022-03-04,2022-03-04,"0 day ahead inc hosp","quantile",0.5,10675,"COVID-19"
"DE","00+",2022-03-04,2022-03-04,"0 day ahead inc hosp","quantile",0.75,11721,"COVID-19"
"DE","00+",2022-03-04,2022-03-04,"0 day ahead inc hosp","quantile",0.9,12770,"COVID-19"
"DE","00+",2022-03-04,2022-03-04,"0 day ahead inc hosp","quantile",0.975,14067,"COVID-19"
"DE","00+",2022-03-04,2022-03-03,"-1 day ahead inc hosp","mean",NA,10561,"COVID-19"
"DE","00+",2022-03-04,2022-03-03,"-1 day ahead inc hosp","quantile",0.025,8401,"COVID-19"
"DE","00+",2022-03-04,2022-03-03,"-1 day ahead inc hosp","quantile",0.1,9009,"COVID-19"
"DE","00+",2022-03-04,2022-03-03,"-1 day ahead inc hosp","quantile",0.25,9639,"COVID-19"
"DE","00+",2022-03-04,2022-03-03,"-1 day ahead inc hosp","quantile",0.5,10439,"COVID-19"
"DE","00+",2022-03-04,2022-03-03,"-1 day ahead inc hosp","quantile",0.75,11351,"COVID-19"
"DE","00+",2022-03-04,2022-03-03,"-1 day ahead inc hosp","quantile",0.9,12270,"COVID-19"
"DE","00+",2022-03-04,2022-03-03,"-1 day ahead inc hosp","quantile",0.975,13414,"COVID-19"
"DE","00+",2022-03-04,2022-03-02,"-2 day ahead inc hosp","mean",NA,10227,"COVID-19"
"DE","00+",2022-03-04,2022-03-02,"-2 day ahead inc hosp","quantile",0.025,8457,"COVID-19"
"DE","00+",2022-03-04,2022-03-02,"-2 day ahead inc hosp","quantile",0.1,8955,"COVID-19"
"DE","00+",2022-03-04,2022-03-02,"-2 day ahead inc hosp","quantile",0.25,9470,"COVID-19"
"DE","00+",2022-03-04,2022-03-02,"-2 day ahead inc hosp","quantile",0.5,10126,"COVID-19"
"DE","00+",2022-03-04,2022-03-02,"-2 day ahead inc hosp","quantile",0.75,10874,"COVID-19"
"DE","00+",2022-03-04,2022-03-02,"-2 day ahead inc hosp","quantile",0.9,11630,"COVID-19"
"DE","00+",2022-03-04,2022-03-02,"-2 day ahead inc hosp","quantile",0.975,12569,"COVID-19"
"DE","00+",2022-03-04,2022-03-01,"-3 day ahead inc hosp","mean",NA,10075,"COVID-19"
"DE","00+",2022-03-04,2022-03-01,"-3 day ahead inc hosp","quantile",0.025,8623,"COVID-19"
"DE","00+",2022-03-04,2022-03-01,"-3 day ahead inc hosp","quantile",0.1,9033,"COVID-19"
"DE","00+",2022-03-04,2022-03-01,"-3 day ahead inc hosp","quantile",0.25,9456,"COVID-19"
"DE","00+",2022-03-04,2022-03-01,"-3 day ahead inc hosp","quantile",0.5,9994,"COVID-19"
"DE","00+",2022-03-04,2022-03-01,"-3 day ahead inc hosp","quantile",0.75,10606,"COVID-19"
"DE","00+",2022-03-04,2022-03-01,"-3 day ahead inc hosp","quantile",0.9,11223,"COVID-19"
"DE","00+",2022-03-04,2022-03-01,"-3 day ahead inc hosp","quantile",0.975,11991,"COVID-19"
"DE","00+",2022-03-04,2022-02-28,"-4 day ahead inc hosp","mean",NA,10011,"COVID-19"
"DE","00+",2022-03-04,2022-02-28,"-4 day ahead inc hosp","quantile",0.025,8786,"COVID-19"
"DE","00+",2022-03-04,2022-02-28,"-4 day ahead inc hosp","quantile",0.1,9131,"COVID-19"
"DE","00+",2022-03-04,2022-02-28,"-4 day ahead inc hosp","quantile",0.25,9488,"COVID-19"
"DE","00+",2022-03-04,2022-02-28,"-4 day ahead inc hosp","quantile",0.5,9942,"COVID-19"
"DE","00+",2022-03-04,2022-02-28,"-4 day ahead inc hosp","quantile",0.75,10459,"COVID-19"
"DE","00+",2022-03-04,2022-02-28,"-4 day ahead inc hosp","quantile",0.9,10981,"COVID-19"
"DE","00+",2022-03-04,2022-02-28,"-4 day ahead inc hosp","quantile",0.975,11630,"COVID-19"
"DE","00+",2022-03-04,2022-02-27,"-5 day ahead inc hosp","mean",NA,10083,"COVID-19"
"DE","00+",2022-03-04,2022-02-27,"-5 day ahead inc hosp","quantile",0.025,8907,"COVID-19"
"DE","00+",2022-03-04,2022-02-27,"-5 day ahead inc hosp","quantile",0.1,9237,"COVID-19"
"DE","00+",2022-03-04,2022-02-27,"-5 day ahead inc hosp","quantile",0.25,9580,"COVID-19"
"DE","00+",2022-03-04,2022-02-27,"-5 day ahead inc hosp","quantile",0.5,10016,"COVID-19"
