"location","age_group","forecast_date","target_end_date","target","type","quantile","value","pathogen"
"DE","00+",2021-12-22,2021-12-22,"0 day ahead inc hosp","mean",NA,8039,"COVID-19"
"DE","00+",2021-12-22,2021-12-22,"0 day ahead inc hosp","quantile",0.025,6049,"COVID-19"
"DE","00+",2021-12-22,2021-12-22,"0 day ahead inc hosp","quantile",0.1,6614,"COVID-19"
"DE","00+",2021-12-22,2021-12-22,"0 day ahead inc hosp","quantile",0.25,7195,"COVID-19"
"DE","00+",2021-12-22,2021-12-22,"0 day ahead inc hosp","quantile",0.5,7930,"COVID-19"
"DE","00+",2021-12-22,2021-12-22,"0 day ahead inc hosp","quantile",0.75,8765,"COVID-19"
"DE","00+",2021-12-22,2021-12-22,"0 day ahead inc hosp","quantile",0.9,9605,"COVID-19"
"DE","00+",2021-12-22,2021-12-22,"0 day ahead inc hosp","quantile",0.975,10647,"COVID-19"
"DE","00+",2021-12-22,2021-12-21,"-1 day ahead inc hosp","mean",NA,8272,"COVID-19"
"DE","00+",2021-12-22,2021-12-21,"-1 day ahead inc hosp","quantile",0.025,6547,"COVID-19"
"DE","00+",2021-12-22,2021-12-21,"-1 day ahead inc hosp","quantile",0.1,7032,"COVID-19"
"DE","00+",2021-12-22,2021-12-21,"-1 day ahead inc hosp","quantile",0.25,7534,"COVID-19"
"DE","00+",2021-12-22,2021-12-21,"-1 day ahead inc hosp","quantile",0.5,8174,"COVID-19"
"DE","00+",2021-12-22,2021-12-21,"-1 day ahead inc hosp","quantile",0.75,8903,"COVID-19"
"DE","00+",2021-12-22,2021-12-21,"-1 day ahead inc hosp","quantile",0.9,9640,"COVID-19"
"DE","00+",2021-12-22,2021-12-21,"-1 day ahead inc hosp","quantile",0.975,10556,"COVID-19"
"DE","00+",2021-12-22,2021-12-20,"-2 day ahead inc hosp","mean",NA,8239,"COVID-19"
"DE","00+",2021-12-22,2021-12-20,"-2 day ahead inc hosp","quantile",0.025,6823,"COVID-19"
"DE","00+",2021-12-22,2021-12-20,"-2 day ahead inc hosp","quantile",0.1,7224,"COVID-19"
"DE","00+",2021-12-22,2021-12-20,"-2 day ahead inc hosp","quantile",0.25,7638,"COVID-19"
"DE","00+",2021-12-22,2021-12-20,"-2 day ahead inc hosp","quantile",0.5,8162,"COVID-19"
"DE","00+",2021-12-22,2021-12-20,"-2 day ahead inc hosp","quantile",0.75,8756,"COVID-19"
"DE","00+",2021-12-22,2021-12-20,"-2 day ahead inc hosp","quantile",0.9,9354,"COVID-19"
"DE","00+",2021-12-22,2021-12-20,"-2 day ahead inc hosp","quantile",0.975,10096,"COVID-19"
"DE","00+",2021-12-22,2021-12-19,"-3 day ahead inc hosp","mean",NA,8265,"COVID-19"
"DE","00+",2021-12-22,2021-12-19,"-3 day ahead inc hosp","quantile",0.025,6975,"COVID-19"
"DE","00+",2021-12-22,2021-12-19,"-3 day ahead inc hosp","quantile",0.1,7344,"COVID-19"
"DE","00+",2021-12-22,2021-12-19,"-3 day ahead inc hosp","quantile",0.25,7722,"COVID-19"
"DE","00+",2021-12-22,2021-12-19,"-3 day ahead inc hosp","quantile",0.5,8198,"COVID-19"
"DE","00+",2021-12-22,2021-12-19,"-3 day ahead inc hosp","quantile",0.75,8734,"COVID-19"
"DE","00+",2021-12-22,2021-12-19,"-3 day ahead inc hosp","quantile",0.9,9272,"COVID-19"
"DE","00+",2021-12-22,2021-12-19,"-3 day ahead inc hosp","quantile",0.975,9937,"COVID-19"
"DE","00+",2021-12-22,2021-12-18,"-4 day ahead inc hosp","mean",NA,8471,"COVID-19"
"DE","00+",2021-12-22,2021-12-18,"-4 day ahead inc hosp","quantile",0.025,7270,"COVID-19"
